num_train,rank,true_cost,gbm,lasso,spo
100,0,1.750632,329,258,293
100,1,1.809072,81,26,80
100,2,1.925703,1,0,14
100,3,1.999412,19,193,95
100,4,2.057852,1,23,17
100,5,2.090044,1,0,0
100,6,2.148484,0,0,0
100,7,2.265115,0,0,0
100,8,2.290142,1,0,0
100,9,2.338823,0,0,0
100,10,2.397263,0,0,0
100,11,2.415110,0,0,0
100,12,2.559557,12,0,0
100,13,2.584140,0,0,0
100,14,2.619036,9,0,0
100,15,2.663890,0,0,0
100,16,2.677476,0,0,0
100,17,2.734628,1,0,0
100,18,2.754521,0,0,0
100,19,2.794107,0,0,0
100,20,2.808337,0,0,0
100,21,2.867816,0,0,0
100,22,2.923552,0,0,0
100,23,2.926256,0,0,0
100,24,3.003301,0,0,0
100,25,3.283514,0,0,0
100,26,3.328178,4,0,0
100,27,3.418150,0,0,0
100,28,3.452544,0,0,0
100,29,3.532294,0,0,0
100,30,3.558995,0,0,0
100,31,3.576958,1,0,0
100,32,3.667590,0,0,0
100,33,3.711377,37,0,0
100,34,3.757562,0,0,0
100,35,3.807775,1,0,1
100,36,3.879664,0,0,0
100,37,3.916369,0,0,0
100,38,3.960157,2,0,0
100,39,4.082628,0,0,0
100,40,4.103246,0,0,0
100,41,4.110481,0,0,0
100,42,4.128443,0,0,0
100,43,4.219075,0,0,0
100,44,4.227075,0,0,0
100,45,4.245012,0,0,0
100,46,4.254135,0,0,0
100,47,4.286554,0,0,0
100,48,4.334063,0,0,0
100,49,4.359260,0,0,0
100,50,4.422040,0,0,0
100,51,4.442658,0,0,0
100,52,4.467855,0,0,0
100,53,4.475829,0,0,0
100,54,4.485701,0,0,0
100,55,4.486445,0,0,0
100,56,4.584423,0,0,0
100,57,4.628211,0,0,0
100,58,4.654731,0,0,0
100,59,4.716518,0,0,0
100,60,4.734481,0,0,0
100,61,4.825113,0,0,0
100,62,4.885548,0,0,0
100,63,4.951032,0,0,0
100,64,4.965298,0,0,0
100,65,4.994143,0,0,0
100,66,5.073892,0,0,0
100,67,6.153219,0,0,0
100,68,6.384036,0,0,0
100,69,6.492631,0,0,0
1000,0,1.750632,429,327,440
1000,1,1.809072,58,0,4
1000,2,1.925703,6,0,0
1000,3,1.999412,3,173,55
1000,4,2.057852,0,0,1
1000,5,2.090044,1,0,0
1000,6,2.148484,0,0,0
1000,7,2.265115,0,0,0
1000,8,2.290142,3,0,0
1000,9,2.338823,0,0,0
1000,10,2.397263,0,0,0
1000,11,2.415110,0,0,0
1000,12,2.559557,0,0,0
1000,13,2.584140,0,0,0
1000,14,2.619036,0,0,0
1000,15,2.663890,0,0,0
1000,16,2.677476,0,0,0
1000,17,2.734628,0,0,0
1000,18,2.754521,0,0,0
1000,19,2.794107,0,0,0
1000,20,2.808337,0,0,0
1000,21,2.867816,0,0,0
1000,22,2.923552,0,0,0
1000,23,2.926256,0,0,0
1000,24,3.003301,0,0,0
1000,25,3.283514,0,0,0
1000,26,3.328178,0,0,0
1000,27,3.418150,0,0,0
1000,28,3.452544,0,0,0
1000,29,3.532294,0,0,0
1000,30,3.558995,0,0,0
1000,31,3.576958,0,0,0
1000,32,3.667590,0,0,0
1000,33,3.711377,0,0,0
1000,34,3.757562,0,0,0
1000,35,3.807775,0,0,0
1000,36,3.879664,0,0,0
1000,37,3.916369,0,0,0
1000,38,3.960157,0,0,0
1000,39,4.082628,0,0,0
1000,40,4.103246,0,0,0
1000,41,4.110481,0,0,0
1000,42,4.128443,0,0,0
1000,43,4.219075,0,0,0
1000,44,4.227075,0,0,0
1000,45,4.245012,0,0,0
1000,46,4.254135,0,0,0
1000,47,4.286554,0,0,0
1000,48,4.334063,0,0,0
1000,49,4.359260,0,0,0
1000,50,4.422040,0,0,0
1000,51,4.442658,0,0,0
1000,52,4.467855,0,0,0
1000,53,4.475829,0,0,0
1000,54,4.485701,0,0,0
1000,55,4.486445,0,0,0
1000,56,4.584423,0,0,0
1000,57,4.628211,0,0,0
1000,58,4.654731,0,0,0
1000,59,4.716518,0,0,0
1000,60,4.734481,0,0,0
1000,61,4.825113,0,0,0
1000,62,4.885548,0,0,0
1000,63,4.951032,0,0,0
1000,64,4.965298,0,0,0
1000,65,4.994143,0,0,0
1000,66,5.073892,0,0,0
1000,67,6.153219,0,0,0
1000,68,6.384036,0,0,0
1000,69,6.492631,0,0,0
