num_train,deg,trial,seed,h,solver,num_contexts,loss_Y,regret_Y,regret_Y_lowvar,regret_fstar,sum_Y_zmethod,sum_fstar_zmethod,sum_Y_zY,sum_fstar_zY,sum_fstar_zfstar
100,1,0,1143,0.01,gbm,1000,8.465473,0.577262,0.569164,0.571507,8465.472693,8464.791042,8416.885204,8417.488435,8416.689036
100,1,0,1143,0.01,lasso,1000,8.417637,0.008934,-0.002013,0.000318,8417.637195,8416.715766,8416.885204,8417.488435,8416.689036
100,1,0,1143,0.01,spo,1000,8.449765,0.390641,0.381435,0.383775,8449.765003,8448.990145,8416.885204,8417.488435,8416.689036
100,1,1,1144,0.01,gbm,1000,8.513566,0.426258,0.421218,0.414890,8513.565853,8513.138635,8477.430141,8478.830606,8477.964398
100,1,1,1144,0.01,lasso,1000,8.478391,0.011330,0.007051,0.000748,8478.390623,8478.027843,8477.430141,8478.830606,8477.964398
100,1,1,1144,0.01,spo,1000,8.522308,0.529386,0.523601,0.517267,8522.308495,8521.818089,8477.430141,8478.830606,8477.964398
100,1,2,1145,0.01,gbm,1000,8.533185,0.666754,0.662712,0.659247,8533.185109,8532.842509,8476.666592,8477.514463,8476.958452
100,1,2,1145,0.01,lasso,1000,8.477414,0.008820,0.003918,0.000475,8477.414265,8476.998706,8476.666592,8477.514463,8476.958452
100,1,2,1145,0.01,spo,1000,8.498419,0.256614,0.247054,0.243602,8498.418886,8497.608495,8476.666592,8477.514463,8476.958452
100,1,3,1146,0.01,gbm,1000,8.552042,0.688001,0.675562,0.676444,8552.041747,8550.985257,8493.605666,8494.453732,8493.531283
100,1,3,1146,0.01,lasso,1000,8.495152,0.018202,0.006470,0.007346,8495.151664,8494.155194,8493.605666,8494.453732,8493.531283
100,1,3,1146,0.01,spo,1000,8.523949,0.357254,0.347176,0.348055,8523.949373,8523.093450,8493.605666,8494.453732,8493.531283
100,1,4,1147,0.01,gbm,1000,8.495485,0.606706,0.602144,0.598897,8495.484908,8495.099647,8444.253102,8445.109670,8444.525604
100,1,4,1147,0.01,lasso,1000,8.444997,0.008815,0.003753,0.000526,8444.997475,8444.570004,8444.253102,8445.109670,8444.525604
100,1,4,1147,0.01,spo,1000,8.466273,0.260764,0.251863,0.248628,8466.272643,8465.521078,8444.253102,8445.109670,8444.525604
100,1,5,1148,0.01,gbm,1000,8.545850,0.719918,0.727650,0.703015,8545.849978,8546.506077,8484.766635,8487.699711,8486.842282
100,1,5,1148,0.01,lasso,1000,8.485835,0.012594,0.025343,0.000880,8485.835248,8486.916945,8484.766635,8487.699711,8486.842282
100,1,5,1148,0.01,spo,1000,8.506955,0.261505,0.266467,0.241945,8506.954722,8507.375749,8484.766635,8487.699711,8486.842282
100,1,6,1149,0.01,gbm,1000,8.380815,0.549646,0.550966,0.539197,8380.815273,8380.925301,8335.002233,8336.573256,8335.977923
100,1,6,1149,0.01,lasso,1000,8.335725,0.008677,0.012224,0.000518,8335.725482,8336.021101,8335.002233,8336.573256,8335.977923
100,1,6,1149,0.01,spo,1000,8.355092,0.241034,0.242683,0.230950,8355.092432,8355.229841,8335.002233,8336.573256,8335.977923
100,1,7,1150,0.01,gbm,1000,8.547854,0.661176,0.661909,0.654072,8547.854346,8547.916534,8491.709188,8493.348569,8492.370313
100,1,7,1150,0.01,lasso,1000,8.492642,0.010988,0.008759,0.000974,8492.642255,8492.452995,8491.709188,8493.348569,8492.370313
100,1,7,1150,0.01,spo,1000,8.514158,0.264366,0.265951,0.258145,8514.158397,8514.292975,8491.709188,8493.348569,8492.370313
100,1,8,1151,0.01,gbm,1000,8.461646,0.441070,0.436487,0.434690,8461.646212,8461.260148,8424.488333,8425.488788,8424.639093
100,1,8,1151,0.01,lasso,1000,8.425361,0.010360,0.002042,0.000253,8425.361071,8424.660370,8424.488333,8425.488788,8424.639093
100,1,8,1151,0.01,spo,1000,8.459649,0.417360,0.405533,0.403737,8459.648759,8458.652438,8424.488333,8425.488788,8424.639093
100,1,9,1152,0.01,gbm,1000,8.467305,0.541876,0.547196,0.533600,8467.304766,8467.752820,8421.669785,8423.514240,8422.808684
100,1,9,1152,0.01,lasso,1000,8.422637,0.011485,0.014502,0.000978,8422.636975,8422.891080,8421.669785,8423.514240,8422.808684
100,1,9,1152,0.01,spo,1000,8.449348,0.328656,0.333872,0.320305,8449.348074,8449.787357,8421.669785,8423.514240,8422.808684
100,1,10,1153,0.01,gbm,1000,8.371571,0.635726,0.645955,0.638786,8371.571330,8372.422181,8318.687231,8320.012350,8319.279804
100,1,10,1153,0.01,lasso,1000,8.319534,0.010184,0.007572,0.000449,8319.534433,8319.317134,8318.687231,8320.012350,8319.279804
100,1,10,1153,0.01,spo,1000,8.349135,0.366013,0.369697,0.362548,8349.134738,8349.441164,8318.687231,8320.012350,8319.279804
100,1,11,1154,0.01,gbm,1000,8.413044,0.670941,0.666612,0.663087,8413.043847,8412.682113,8356.973516,8358.296893,8357.266178
100,1,11,1154,0.01,lasso,1000,8.358197,0.014642,0.003819,0.000317,8358.197135,8357.292651,8356.973516,8358.296893,8357.266178
100,1,11,1154,0.01,spo,1000,8.392598,0.426285,0.424155,0.420639,8392.598063,8392.420068,8356.973516,8358.296893,8357.266178
100,1,12,1155,0.01,gbm,1000,8.536534,0.550218,0.557331,0.541106,8536.534369,8537.138229,8489.821815,8492.084542,8491.191899
100,1,12,1155,0.01,lasso,1000,8.490779,0.011276,0.016655,0.000517,8490.779139,8491.235769,8489.821815,8492.084542,8491.191899
100,1,12,1155,0.01,spo,1000,8.518732,0.340523,0.341927,0.325737,8518.731600,8518.850829,8489.821815,8492.084542,8491.191899
100,1,13,1156,0.01,gbm,1000,8.464008,0.673060,0.672980,0.670612,8464.008203,8464.001519,8407.421249,8408.394187,8407.618977
100,1,13,1156,0.01,lasso,1000,8.408168,0.008886,0.003019,0.000668,8408.168306,8407.675099,8407.421249,8408.394187,8407.618977
100,1,13,1156,0.01,spo,1000,8.438721,0.372289,0.371314,0.368953,8438.721141,8438.639169,8407.421249,8408.394187,8407.618977
100,1,14,1157,0.01,gbm,1000,8.597268,0.688120,0.702111,0.657729,8597.268288,8598.462892,8538.513049,8543.142743,8542.277832
100,1,14,1157,0.01,lasso,1000,8.541948,0.040228,0.044989,0.000896,8541.947907,8542.354413,8538.513049,8543.142743,8542.277832
100,1,14,1157,0.01,spo,1000,8.565916,0.320929,0.320692,0.276478,8565.915631,8565.895372,8538.513049,8543.142743,8542.277832
100,1,15,1158,0.01,gbm,1000,8.529644,0.724413,0.726082,0.708410,8529.644201,8529.785581,8468.298757,8470.743402,8469.784742
100,1,15,1158,0.01,lasso,1000,8.469262,0.011380,0.018083,0.000535,8469.262477,8469.830041,8468.298757,8470.743402,8469.784742
100,1,15,1158,0.01,spo,1000,8.481946,0.161155,0.163090,0.145517,8481.945882,8482.109733,8468.298757,8470.743402,8469.784742
100,1,16,1159,0.01,gbm,1000,8.479861,0.472658,0.466982,0.458755,8479.860617,8479.381553,8439.968397,8441.515397,8440.659618
100,1,16,1159,0.01,lasso,1000,8.440949,0.011616,0.008680,0.000490,8440.948804,8440.700966,8439.968397,8441.515397,8440.659618
100,1,16,1159,0.01,spo,1000,8.460151,0.239128,0.236808,0.228600,8460.150702,8459.954929,8439.968397,8441.515397,8440.659618
100,1,17,1160,0.01,gbm,1000,8.597925,0.448351,0.438382,0.430614,8597.925001,8597.071729,8559.548207,8561.305405,8560.210262
100,1,17,1160,0.01,lasso,1000,8.560805,0.014686,0.008738,0.001003,8560.805288,8560.296118,8559.548207,8561.305405,8560.210262
100,1,17,1160,0.01,spo,1000,8.583616,0.281182,0.281727,0.273971,8583.616157,8583.662764,8559.548207,8561.305405,8560.210262
100,1,18,1161,0.01,gbm,1000,8.553529,0.462301,0.469897,0.449299,8553.528771,8554.175502,8514.167664,8517.184829,8515.913591
100,1,18,1161,0.01,lasso,1000,8.515287,0.013150,0.021521,0.001015,8515.287314,8516.000010,8514.167664,8517.184829,8515.913591
100,1,18,1161,0.01,spo,1000,8.539523,0.297800,0.303250,0.282686,8539.522863,8539.986869,8514.167664,8517.184829,8515.913591
100,1,19,1162,0.01,gbm,1000,8.344023,0.563033,0.556009,0.554075,8344.023269,8343.440462,8297.306725,8298.262714,8297.466300
100,1,19,1162,0.01,lasso,1000,8.298316,0.012158,0.002487,0.000564,8298.315523,8297.513114,8297.306725,8298.262714,8297.466300
100,1,19,1162,0.01,spo,1000,8.327913,0.368870,0.357332,0.355402,8327.913005,8326.955662,8297.306725,8298.262714,8297.466300
100,1,20,1163,0.01,gbm,1000,8.347994,0.658343,0.666397,0.649941,8347.994116,8348.662061,8293.395159,8295.443980,8294.751114
